DB,OB,HD,HC,HBP,SMK,COPD,ASM,Stroke
11.8,49,10.1,33.4,28.4,15.4,10.1,12.5,6.6
7.3,41,11.1,41.4,30.9,24.4,11.6,13.8,3.5
6.9,30.47,5.6,30.6,56.2,18.1,7.3,9.74,2
23.1,50.4,5,31.5,37.5,11.6,9.3,13.6,2.7
11.7,52.4,8.5,35.8,54.8,15.1,7.2,15.9,1.7
17.7,38.7,3.2,29.7,58.6,14,6.6,11,3.9
16.5,27.4,5.6,37.6,45.6,15.7,7.8,8.3,2.4
22.3,31.1,7.3,40.7,55.2,14,8.1,14.3,4.6
8.3,22.7,7,39.3,29.3,23.9,10.7,8.5,3.2
20.4,31.8,11.3,33.7,42.7,18.1,9.5,12.3,3.4
14.9,30.5,8.8,35.9,58.6,18.7,7.8,14.4,3.7
10.81,30.3,10.1,38.8,56.2,26.4,5,13.2,2.4
14.3,40.6,7.6,28.4,52.8,21.5,12.3,10.4,9.6
13.9,48.2,10.9,30.7,59.9,14.4,8.9,12.6,2.2
21.9,49.5,7.5,31.5,45.3,22.5,16.3,9.8,5.7
13.7,46,8.4,19.8,30.8,31.4,9.1,9.74,5.9
7.2,45.6,9.3,39.2,54.1,18.5,8.7,8.9,3.8
10,33.9,9.2,37.1,49.6,16.6,11.2,9.3,3.21
23.4,45.7,3.4,39.1,31.7,26.5,11.1,10.5,4.1
13.1,33.8,4.3,30.4,50.2,28.8,7.3,9.74,3.4
16.2,31.6,5.9,35.5,29.3,35.9,6.9,12.4,5.6
17.2,30.47,7.5,46.2,41.6,25.5,10.1,10.2,5.8
6.7,40.6,5.6,39,47.7,24.7,5.2,8.9,3.21
12.1,48.8,6.1,32.1,37.6,29.3,7.5,11.8,1.8
25,38.5,8.2,23.9,47.5,22.3,6.3,8.4,1.1
8.8,31.3,7.2,29.4,39.8,17.2,9.3,9.9,2.7
7.6,40.4,10.9,34.8,31.7,17.97,8.7,14.9,2.2
13.6,30.47,6.2,29.6,54.7,19,10.6,12.9,3.3
26.3,22.5,7,26.8,38.9,13.6,7.3,9.6,2.4
20.9,40.7,6.2,37.7,29.3,29.1,8.1,10.7,3.2
24.5,32.2,6.2,34.8,42.8,13.3,9.8,12.2,2.3
13.5,35.6,7.9,33.9,32.1,15.7,6.8,8.5,6.4
