Year,HD_M_Value,HD_M_US,HD_M_REL_US,HBP_M_Value,HBP_M_US,HBP_M_REL_US,HC_M_Value,HC_M_US,HC_M_REL_US,OB_M_Value,OB_M_US,OB_M_REL_US,DB_M_Value,DB_M_US,DB_M_REL_US,Target_Value
2017Centract,4.5,6.4,-0.296875,20.6,32.4,-0.364197531,45.9,34.1,0.3460,27.4,30.1,-0.089700997,9.2,10.8,-0.148148148,4
2017Centract,10.3,6.4,0.609375,41.6,32.4,0.283950617,29.8,34.1,-0.1261,26.3,30.1,-0.126245847,15.6,10.8,0.444444444,4.4
2017Centract,8.8,6.4,0.375,44.1,32.4,0.361111111,34.9,34.1,0.0235,33.4,30.1,0.109634551,10.4,10.8,-0.037037037,3.3
2017Centract,7.9,6.4,0.234375,40.1,32.4,0.237654321,38.1,34.1,0.1173,33.2,30.1,0.102990033,12.9,10.8,0.194444444,1.7
2017Centract,8.1,6.4,0.265625,39.5,32.4,0.219135802,39.2,34.1,0.1496,27.3,30.1,-0.093023256,21,10.8,0.944444444,2.5
2017Centract,6.4,6.4,0,46.1,32.4,0.422839506,39.3,34.1,0.1525,48,30.1,0.594684385,12.4,10.8,0.148148148,5.2
2017Centract,7.7,6.4,0.203125,36.7,32.4,0.132716049,38.3,34.1,0.1232,45.5,30.1,0.511627907,11.4,10.8,0.055555556,7.4
2017Centract,8.2,6.4,0.28125,52.2,32.4,0.611111111,26.3,34.1,-0.2287,26.6,30.1,-0.11627907,6,10.8,-0.444444444,6
2017Centract,4.2,6.4,-0.34375,20,32.4,-0.382716049,34,34.1,-0.0029,32.1,30.1,0.066445183,19.4,10.8,0.796296296,3.4
2017Centract,7.9,6.4,0.234375,52.1,32.4,0.608024691,38.6,34.1,0.1320,24.2,30.1,-0.196013289,21.1,10.8,0.953703704,5.5
2017Centract,4.2,6.4,-0.34375,45,32.4,0.388888889,31.9,34.1,-0.0645,30,30.1,-0.003322259,14.4,10.8,0.333333333,2.3
2017Centract,9,6.4,0.40625,37.8,32.4,0.166666667,42.1,34.1,0.2346,30.2,30.1,0.003322259,20.3,10.8,0.87962963,5.6
2017Centract,2.9,6.4,-0.546875,30.1,32.4,-0.070987654,30.7,34.1,-0.0997,27.4,30.1,-0.089700997,14.8,10.8,0.37037037,5
2017Centract,4.4,6.4,-0.3125,39.6,32.4,0.222222222,20.6,34.1,-0.3959,32.1,30.1,0.066445183,11.4,10.8,0.055555556,2.7
2017Centract,6,6.4,-0.0625,29.3,32.4,-0.095679012,32.8,34.1,-0.0381,35.3,30.1,0.172757475,24,10.8,1.222222222,7.3
2017Centract,10.4,6.4,0.625,34.3,32.4,0.058641975,41.3,34.1,0.2111,54.3,30.1,0.803986711,15.1,10.8,0.398148148,5.8
2017Centract,4,6.4,-0.375,33.1,32.4,0.021604938,27.8,34.1,-0.1848,30.9,30.1,0.026578073,17.9,10.8,0.657407407,2.8
2017Centract,5.9,6.4,-0.078125,45.5,32.4,0.404320988,26.3,34.1,-0.2287,27.7,30.1,-0.079734219,21.3,10.8,0.972222222,2.4
2017Centract,10.5,6.4,0.640625,49.5,32.4,0.527777778,43.1,34.1,0.2639,26.5,30.1,-0.119601329,12.2,10.8,0.12962963,1.8
2017Centract,8.4,6.4,0.3125,47.2,32.4,0.456790123,34.6,34.1,0.0147,33.6,30.1,0.11627907,23.1,10.8,1.138888889,1.5
2017Centract,6.9,6.4,0.078125,39.7,32.4,0.225308642,28.6,34.1,-0.1613,31.5,30.1,0.046511628,19.9,10.8,0.842592593,1.4
2017Centract,6.5,6.4,0.015625,39.2,32.4,0.209876543,37.3,34.1,0.0938,39.8,30.1,0.322259136,16,10.8,0.481481481,1.8
